Topic_ID,Num_Docs,Coherence_c_v
21,89,0.9285372098981967
28,70,0.914769192794566
32,63,0.9081397390052194
7,208,0.9039926442534233
0,734,0.8757610067859145
31,64,0.8453909699960793
14,136,0.8328136319393524
34,62,0.8256469590440715
12,177,0.821268928087977
18,114,0.816767816291873
37,55,0.8092069198997258
30,64,0.8049085584326479
11,188,0.7962109034820594
6,232,0.7887676091563698
3,305,0.7770717980687398
1,329,0.7715563091039377
26,72,0.7695152111563373
13,146,0.7581195162081896
20,93,0.7501421640170723
35,58,0.7487506670325466
19,105,0.7234707677473456
10,194,0.6972486609975955
15,134,0.6933819628074671
36,55,0.6825380736539096
22,88,0.6399686376468258
8,206,0.6392065995125583
5,243,0.5627473712435966
2,312,0.5188543847718585
17,123,0.5121683573726213
24,77,0.49680229847095175
29,67,0.4674391678105684
33,63,0.3946799887900586
27,70,0.3931313680625908
25,74,0.3312104248872596
16,133,0.3216702896307515
4,265,0.31545410816516994
9,195,0.28245270037019177
23,86,0.1688941339271982
