Topic_ID,Coherence_c_v
0,0.5145305994716132
1,0.7099728154248754
2,0.5768005439564687
3,0.41397879442726826
4,0.45050528910670645
5,0.2935885742044134
6,0.43221894785655657
7,0.25512031993713974
8,0.5113522574980712
9,0.40212565064488953
10,0.5287212785627282
11,0.4701012684793586
12,0.5408502778217668
13,0.5847292912153479
14,0.4293273323991111
15,0.416115608437349
16,0.3772189906061433
17,0.4602340149980078
18,0.49807079664579207
19,0.533953043047968
20,0.3656572047046641
21,0.2744828856345889
22,0.4789693469671012
23,0.4442910571023138
24,0.45150228275832266
25,0.35509894935428715
26,0.35189612432995393
27,0.3352546349806073
